strain_barcode	Strain_Name	Collection_month	Collection_year	Country	Lab_contact	Source_details	Source_niche	Source_type	sample_accession	secondary_sample_accession	secondary_study_accession	study_accession	MLST_ACHTMAN_ST
SAL_FA3831AA	133214	7	2015	United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04574820	SRS1356530	SRP042645	PRJNA248792	11
SAL_BA7334AA	09:MF0000575R				THE SANGER CENTER				SAMEA1030774	ERS037368	ERP000715	PRJEB2566	11
SAL_EA8092AA	1515			United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04362905	SRS1219232	SRP042645	PRJNA248792	11
SAL_DA9915AA	FSF0075	7	2011	China	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	tilapia	Aquatic	Fish	SAMN02483551	SRS551162	SRP018785	PRJNA186035	11
SAL_FA7326AA	134034	7	2015	United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN05173207	SRS1466543	SRP042645	PRJNA248792	11
SAL_BA9106AA	RD3-sc-2013-02-27T10:26:28Z-1500429				THE SANGER CENTER				SAMEA2054178	ERS217214	ERP001965	PRJEB634	11
SAL_EA3409AA	BS_21887-sc-2322428				The Wellcome Trust Sanger Institute				SAMEA3463283	ERS758878	ERP010763	PRJEB9635	11
SAL_BA9090AA	RD72-sc-2013-02-27T10:26:46Z-1500445				THE SANGER CENTER				SAMEA2053254	ERS217230	ERP001965	PRJEB634	11
SAL_FA3844AA	183662	11	2015	United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04574794	SRS1356451	SRP042645	PRJNA248792	11
SAL_BA9088AA	RD79-sc-2013-02-27T10:26:48Z-1500447				THE SANGER CENTER				SAMEA2054249	ERS217232	ERP001965	PRJEB634	11
SAL_BA0177AA	201009544-sc-2013-06-10T14:57:48Z-1611335				THE SANGER CENTER				SAMEA2078098	ERS255511	ERP001965	PRJEB634	11
SAL_FA3725AA	171322	10	2015	United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04575093	SRS1356624	SRP042645	PRJNA248792	11
SAL_EA7063AA	21847			United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04364011	SRS1220351	SRP042645	PRJNA248792	11
SAL_DA0532AA	H123380358	8	2012		Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03169528	SRS740814	SRP042645	PRJNA248792	11
SAL_CA5654AA	68894	10	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03468648	SRS899304	SRP042645	PRJNA248792	11
SAL_DA9206AA	EC20121178			Canada		environmental-chicken	Poultry	Avian	SAMN02384316	SRS566171	SRP039437	PRJNA219482	11
SAL_FA3487AA	120575	4	2015	United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04576520	SRS1357755	SRP042645	PRJNA248792	11
SAL_BA9091AA	RD57-sc-2013-02-27T10:26:45Z-1500444				THE SANGER CENTER				SAMEA2054248	ERS217229	ERP001965	PRJEB634	11
SAL_BA9093AA	RD54-sc-2013-02-27T10:26:43Z-1500442				THE SANGER CENTER				SAMEA2053253	ERS217227	ERP001965	PRJEB634	11
