id	latitude	longitude	country	countryshape	countrycolour	region	year	serotype	inferred serotype	ST	inferredST	source	ENA Accession	Isolate Name
657026	40.463667	-3.74922	Spain	circle	#FF0000			6B	6C	620	620		ERR052438	SPN11926
657027	51.165691	10.451526	Germany	circle	#FF0000		1998	6B	6C	90	90	Bronchitis	ERR052439	SPN13151
657028	51.165691	10.451526	Germany	circle	#FF0000		1999	6B	6C	90	90		ERR052440	SPN13522
657029	51.165691	10.451526	Germany	circle	#FF0000		1999	6B	6C	273	273	Pneumonia	ERR052441	SPN13633
6570311	51.165691	10.451526	Germany	circle	#FF0000		1993	6B	6C	273	273	Sepsis	ERR052464	SPN4000
6570312	51.165691	10.451526	Germany	circle	#FF0000		1995	6B	6C	273	273	Fever	ERR052465	SPN4488
6570313	51.165691	10.451526	Germany	circle	#FF0000		1996	6B	6C	273	273	Meningitis	ERR052466	SPN4876
6570314	51.165691	10.451526	Germany	circle	#FF0000		1996	6B	6C	273	273		ERR052467	SPN4901
657033				circle	#FF0000		2005	6B	6C	273	273	Otitis media	ERR052456	SPN22809
6678317	51.165691	10.451526	Germany	circle	#FF0000		2007	6B	6C	273	273	Pneumonia	ERR055616	SN33007
6678318	51.165691	10.451526	Germany	circle	#FF0000		2008	6B	6C	273	273	Meningitis	ERR055617	SN34677
6711113	51.165691	10.451526	Germany	circle	#FF0000		2005	6B	6C	90	90		ERR052511	SN26575
671117	40.463667	-3.74922	Spain	circle	#FF0000			6B	6C	90	90		ERR052505	SN11917
671118	40.463667	-3.74922	Spain	circle	#FF0000			6B	6C	620	620		ERR052506	SN11927
744481	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1995	6	6C		90	Nasopharynx	ERR107482	9511+06158
7444810	64	-21.2	Iceland	circle	#FFA500	Hveragerdi	1996	6B	6C		90	Sputum	ERR107491	9609+24019
7444811	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1996	6B	6C		90	Nasopharynx	ERR107492	9611+04103
7444812	64.066667	-21.933333	Iceland	circle	#FFA500	Hafnarfjorour	1996	6B	6C	90	90	Blood	ERR107493	9612+28032
7444813	65.6884921	-18.1261693	Iceland	circle	#FFA500	Akureyri	1997	6B	6C		SLV90	Middle ear	ERR107494	9701+10122
7444814	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1997	6B	6C		90	Nose	ERR107495	9702+03174
7444815	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1997	6B	6C	90	90	Blood	ERR107496	9703+24150
7444816	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1997	6B	6C	90	90	Blood	ERR107497	9705+05087
7444817	64.111389	-21.904722	Iceland	circle	#FFA500	Kopavogur	1997	6B	6C		90	Middle ear	ERR107498	9706+10167
7444818	64.111389	-21.904722	Iceland	circle	#FFA500	Kopavogur	1997	6B	6C		90	Unknown	ERR107499	9707+14101
7444819	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1997	6B	6C		90	Middle ear	ERR107500	9708+26128
744482	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1995	6	6C		90	Sputum	ERR107483	9512+07034
7444820	64.17	-21.72	Iceland	circle	#FFA500	Mosfellsbaer	1997	6B	6C		SLV90	Nasopharynx	ERR107501	9711+04135
7444821	64.001111	-22.551944	Iceland	circle	#FFA500	Reykjanesbaer	1997	6B	6C		90	Middle ear	ERR107502	9712+30001
7444822	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1998	6	6C		90	Middle ear	ERR107503	9801+23240
7444823	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1998	6B	6C		90	Nasopharynx	ERR107504	9802+26112
7444824	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1998	6B	6C		90	Sinus	ERR107505	9803+09178
7444825	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1998	6B	6C		90	Nasopharynx	ERR107506	9806+08086
7444826	64.17	-21.72	Iceland	circle	#FFA500	Mosfellsbaer	1998	6B	6C	90	SLV90	Blood	ERR107507	9807+09096
7444827	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1998	6B	6C		90	Nasopharynx	ERR107508	9808+20015
7444828	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1998	6	6C		SLV90	Middle ear	ERR107509	9809+25147
7444829	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1998	6B	6C		90	Nasopharynx	ERR107510	9811+05053
744483	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1996	6	6C		90	Nasopharynx	ERR107484	9601+30166
7444830	64.111389	-21.904722	Iceland	circle	#FFA500	Kopavogur	1998	6B	6C		SLV90	Middle ear	ERR107511	9812+11187
7444831	64.116669	-22	Iceland	circle	#FFA500	Bessastaoahreppur	1999	6B	6C		90	Middle ear	ERR107512	9901+13020
7444832	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1999	6B	6C		90	Middle ear	ERR107513	9903+09147
7444833	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1999	6B	6C		90	Nasopharynx	ERR107514	9905+21046
7444834	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1999	6B	6C		90	Nose	ERR107515	9906+15160
7444835	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1999	6B	6C		90	Middle ear	ERR107516	9907+14172
7444836	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1999	6B	6C		90	Urine	ERR107517	9908+13028
7444837	63.8441808	-22.4383818	Iceland	circle	#FFA500	Grindavik	1999	6B	6C		90	Nose	ERR107518	9909+21117
7444838	64.1558234	-22.0053392	Iceland	circle	#FFA500	Seltjarnarnes	1999	6B	6C		90	Nasopharynx	ERR107519	9911+18139
7444839	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1999	6B	6C		90	Nasopharynx	ERR107520	9912+17151
744484	64.111389	-21.904722	Iceland	circle	#FFA500	Kopavogur	1996	6B	6C		SLV90	Middle ear	ERR107485	9602+15128
7444840	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	2000	6B	6C		SLV90	Sputum	ERR107521	0001+05003
7444842	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	2000	6B	6C		90	Sputum	ERR107523	0003+13150
7444843	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	2000	6B	6C		90	Nasopharynx	ERR107524	0005+24045
7444844	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	2000	6B	6C		SLV90	Middle ear	ERR107525	0006+20010
7444847	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	2000	6B	6C		90	Nose	ERR107528	0009+01095
7444848	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	2000	6B	6C		90	Sputum	ERR107529	0011+09030
7444849	64.001111	-22.551944	Iceland	circle	#FFA500	Reykjanesbaer	2000	6B	6C		90	Nasopharynx	ERR107530	0012+25031
744485	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1996	6	6C		90	Conjunctiva	ERR107486	9603+12093
7444850	64.001111	-22.551944	Iceland	circle	#FFA500	Reykjanesbaer	2001	6B	6C	90	90	Blood	ERR107531	0101+26271
7444851	64.001111	-22.551944	Iceland	circle	#FFA500	Reykjanesbaer	2001	6B	6C		SLV90	Nasopharynx	ERR107532	0102+01171
7444852	64.116669	-22	Iceland	circle	#FFA500	Bessastaoahreppur	2001	6B	6C		90	Nasopharynx	ERR107533	0105+29173
7444853	64.083333	-21.9	Iceland	circle	#FFA500	Garoabaer	2001	6B	6C		90	Nasopharynx	ERR107534	0106+11154
7444854	64.963051	-19.020835	Iceland	circle	#FFA500	Dyskaland	2001	6B	6C		90	Sputum	ERR107535	0108+03050
7444855	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	2001	6B	6C		SLV90	Middle ear	ERR107536	0109+28217
7444856	64.3219244	-22.0702847	Iceland	circle	#FFA500	Akranes	2001	6B	6C		90	Nasopharynx	ERR107537	0111+21110
7444857	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	2001	6B	6C		90	Nasopharynx	ERR107538	0112+27129
7444858	64.111389	-21.904722	Iceland	circle	#FFA500	Kopavogur	2002	6B	6C		90	Middle ear	ERR107539	0202+01134
7444859	64.001111	-22.551944	Iceland	circle	#FFA500	Reykjanesbaer	2002	6B	6C		90	Nasopharynx	ERR107540	0203+19212
744486	64.083333	-21.9	Iceland	circle	#FFA500	Garoabaer	1996	6B	6C		90	Nasopharynx	ERR107487	9605+07141
7444860	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	2002	6B	6C	90	90	Blood	ERR107541	0205+05018
7444861	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	2002	6B	6C		90	Sputum	ERR107542	0206+21189
7444862	64.066667	-21.933333	Iceland	circle	#FFA500	Hafnarfjorour	2002	6B	6C		90	Nose	ERR107543	0207+15090
7444863	64.1558234	-22.0053392	Iceland	circle	#FFA500	Seltjarnarnes	2002	6B	6C		90	Sputum	ERR107544	0208+13020
7444864	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	2002	6B	6C		90	Nasopharynx	ERR107545	0209+24059
7444865	64.066667	-21.933333	Iceland	circle	#FFA500	Hafnarfjorour	2002	6B	6C		SLV90	Middle ear	ERR107546	0211+13275
